Date,Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power,City,Index
1/5/2020,7:00:00 AM,30.2,71,21.9,16.79,23.57,309,310,24.2,0.5216,Helsinki,104
1/5/2020,8:00:00 AM,29.7,75,22.6,15.71,22.16,305,307,24.2,0.5212,Helsinki,105
1/5/2020,9:00:00 AM,29.2,75,22.2,15.16,21.44,301,302,22.6,0.5209,Helsinki,106
1/5/2020,10:00:00 AM,29.1,73,21.5,14.51,20.46,300,301,21.9,0.5205,Helsinki,107
1/5/2020,11:00:00 AM,29.4,71,21.3,13.78,19.36,299,300,21,0.5202,Helsinki,108
1/5/2020,12:00:00 PM,29.7,70,21.2,12.39,17.56,298,300,19.9,0.5158,Helsinki,109
1/5/2020,1:00:00 PM,29.8,72,21.7,11.6,16.46,294,296,17.9,0.5075,Helsinki,110
1/5/2020,2:00:00 PM,29.8,74,22.4,10.48,15.15,291,293,16.7,0.4992,Helsinki,111
1/5/2020,3:00:00 PM,29.5,76,22.7,9.25,13.71,292,293,15.1,0.4908,Helsinki,112
1/5/2020,4:00:00 PM,28.5,78,22.5,8.29,12.75,293,296,13.3,0.4825,Helsinki,113
1/5/2020,5:00:00 PM,26.9,79,21.1,7.62,12.11,284,288,11.9,0.4742,Helsinki,114
1/5/2020,6:00:00 PM,26.1,79,20.5,7.52,12.46,274,279,10.9,0.4652,Helsinki,115
1/5/2020,7:00:00 PM,26.1,77,19.9,7.82,13.01,266,272,11,0.4557,Helsinki,116
1/5/2020,8:00:00 PM,26.4,74,19.4,8.45,13.91,264,268,12,0.4461,Helsinki,117
1/5/2020,9:00:00 PM,26.4,73,18.9,8.84,14.31,265,268,12.7,0.4366,Helsinki,118
1/5/2020,10:00:00 PM,26.2,71,18.1,8.61,14,267,270,12.7,0.427,Helsinki,119
1/5/2020,11:00:00 PM,25.7,70,17.3,8.02,13.4,266,270,12.3,0.4175,Helsinki,120
1/6/2020,12:00:00 AM,24.9,70,16.3,7.62,13,265,270,11.5,0.408,Helsinki,121
1/6/2020,1:00:00 AM,24,69,15.3,7.21,12.31,267,272,10.9,0.3984,Helsinki,122
1/6/2020,2:00:00 AM,22.7,70,14.4,7.01,12.01,267,272,10.3,0.3889,Helsinki,123
1/6/2020,3:00:00 AM,22,69,13.5,6.99,11.82,261,267,10,0.3793,Helsinki,124
1/6/2020,4:00:00 AM,20.9,70,12.6,7.15,12.01,250,257,10.1,0.3698,Helsinki,125
1/6/2020,5:00:00 AM,20.5,69,12,7.05,11.75,252,258,10.1,0.3734,Helsinki,126
1/6/2020,6:00:00 AM,19.9,72,12.2,6.43,10.53,249,256,10,0.3902,Helsinki,127
1/6/2020,7:00:00 AM,18.6,73,11.3,6.53,10.53,243,250,9.2,0.407,Helsinki,128
1/6/2020,8:00:00 AM,18.2,73,11,6.6,10.56,238,244,9.2,0.4238,Helsinki,129
1/6/2020,9:00:00 AM,18.5,74,11.5,7.43,12.31,241,246,10.4,0.4405,Helsinki,130
1/6/2020,10:00:00 AM,19.6,73,12.4,7.58,12.38,247,254,10.9,0.4573,Helsinki,131
1/6/2020,11:00:00 AM,21.2,72,13.6,7.61,12.15,245,253,10.9,0.4741,Helsinki,132
1/6/2020,12:00:00 PM,22.7,72,14.9,8.21,13.04,248,254,11.8,0.4864,Helsinki,133
1/6/2020,1:00:00 PM,25.1,70,16.8,8.44,13.37,256,261,12.1,0.4941,Helsinki,134
1/6/2020,2:00:00 PM,26.9,70,18.2,9.22,14.2,266,271,13.1,0.5018,Helsinki,135
1/6/2020,3:00:00 PM,28.2,70,19.7,8.77,13.59,277,282,13.4,0.5095,Helsinki,136
1/6/2020,4:00:00 PM,29.3,72,21.4,9.43,14.37,291,294,13.2,0.5172,Helsinki,137
1/6/2020,5:00:00 PM,28.4,78,22.6,11.68,17.11,302,303,16.4,0.5249,Helsinki,138
1/6/2020,6:00:00 PM,27.1,81,22,11.63,16.91,311,313,17.1,0.5119,Helsinki,139
1/6/2020,7:00:00 PM,25.6,78,19.8,10.7,15.71,307,309,16.8,0.4781,Helsinki,140
1/6/2020,8:00:00 PM,23.9,77,17.9,10.22,15.34,301,303,15.3,0.4444,Helsinki,141
1/6/2020,9:00:00 PM,23.4,77,17.2,10.33,15.63,297,300,15,0.4106,Helsinki,142
1/6/2020,10:00:00 PM,22.1,78,16.3,8.75,13.73,292,296,14.8,0.3769,Helsinki,143
1/6/2020,11:00:00 PM,20.8,78,14.9,7.87,12.78,288,293,12.5,0.3431,Helsinki,144
1/7/2020,12:00:00 AM,20,76,13.6,7.21,12.13,287,294,11.2,0.3094,Helsinki,145
1/7/2020,1:00:00 AM,19.1,75,12.7,6.87,11.55,286,295,10.2,0.2756,Helsinki,146
1/7/2020,2:00:00 AM,18.3,76,11.9,7.08,11.77,283,291,10,0.2419,Helsinki,147
1/7/2020,3:00:00 AM,17.3,76,11,6.51,10.97,281,289,10.2,0.2081,Helsinki,148
1/7/2020,4:00:00 AM,16.3,76,10,5.76,9.66,287,297,9.3,0.1744,Helsinki,149
1/7/2020,5:00:00 AM,17.5,75,11,5.44,9.06,290,301,8,0.1652,Helsinki,150
1/7/2020,6:00:00 AM,17.1,77,11,6.06,10.47,308,316,7.8,0.1805,Helsinki,151
1/7/2020,7:00:00 AM,19.7,78,13.8,6.59,10.6,319,324,9.4,0.1959,Helsinki,152
1/7/2020,8:00:00 AM,18.5,79,13.2,7.02,10.82,332,334,10.1,0.2112,Helsinki,153
1/7/2020,9:00:00 AM,14.8,77,9.1,7.12,10.87,336,336,10.2,0.2266,Helsinki,154
1/7/2020,10:00:00 AM,12.3,73,5.2,7.36,11.25,329,330,10.8,0.242,Helsinki,155
1/7/2020,11:00:00 AM,11.5,72,4.1,7.23,10.65,319,320,10.8,0.2573,Helsinki,156
1/7/2020,12:00:00 PM,11,71,3.4,7.73,10.51,320,320,11.3,0.2554,Helsinki,157
1/7/2020,1:00:00 PM,11.1,70,3.4,7.57,10.4,316,317,11.3,0.2363,Helsinki,158
1/7/2020,2:00:00 PM,11.3,70,3.6,7.22,10.54,313,315,11.1,0.2171,Helsinki,159
1/7/2020,3:00:00 PM,10.9,72,3.7,7.02,10.54,311,313,10.6,0.1979,Helsinki,160
1/7/2020,4:00:00 PM,9.9,71,2.5,6.88,10.48,311,312,10.3,0.1788,Helsinki,161
1/7/2020,5:00:00 PM,8.2,72,1,6.72,10.75,316,317,9.9,0.1596,Helsinki,162
1/7/2020,6:00:00 PM,5.5,74,-1,6.48,10.66,322,324,9.6,0.1459,Helsinki,163
1/7/2020,7:00:00 PM,4.8,75,-1.3,6,9.89,330,332,9.3,0.1377,Helsinki,164
1/7/2020,8:00:00 PM,3.4,78,-2,5.28,8.79,341,343,8.5,0.1295,Helsinki,165
1/7/2020,9:00:00 PM,1.6,79,-3.4,4.42,7.73,355,355,7.5,0.1214,Helsinki,166
1/7/2020,10:00:00 PM,-0.5,80,-5.3,3.5,6.31,360,3,6.2,0.1132,Helsinki,167
1/7/2020,11:00:00 PM,-2.7,81,-7.1,2.83,5.07,8,15,4.8,0.105,Helsinki,168
1/8/2020,12:00:00 AM,-0.5,81,-4.9,0.85,2.66,21,34,3.6,0.0968,Helsinki,169
1/8/2020,1:00:00 AM,-0.7,81,-5,0.81,1.92,120,81,1.2,0.0886,Helsinki,170
1/8/2020,2:00:00 AM,-4.9,83,-8.8,2.06,2.91,141,117,2.2,0.0805,Helsinki,171
1/8/2020,3:00:00 AM,-4.4,83,-8.1,3.23,4.66,158,149,4.2,0.0723,Helsinki,172
1/8/2020,4:00:00 AM,-4.1,84,-7.7,3.41,5.53,140,139,4.4,0.0641,Helsinki,173
1/8/2020,5:00:00 AM,-2.1,84,-5.8,4.36,7.16,127,131,6.2,0.0802,Helsinki,174
1/8/2020,6:00:00 AM,-1.7,85,-5.2,6.53,9.06,130,133,8.5,0.1206,Helsinki,175
1/8/2020,7:00:00 AM,-0.8,85,-4.4,7.21,9.41,134,136,10.4,0.161,Helsinki,176
1/8/2020,8:00:00 AM,-0.5,83,-4.4,7.67,10.05,130,133,11.2,0.2014,Helsinki,177
1/8/2020,9:00:00 AM,-0.4,83,-4.4,7.73,10.4,130,133,11.4,0.2418,Helsinki,178
1/8/2020,10:00:00 AM,1,82,-3.1,8.7,11.24,134,136,12.6,0.2822,Helsinki,179
1/8/2020,11:00:00 AM,2.4,81,-2,9.4,12.18,135,138,13.8,0.3226,Helsinki,180
1/8/2020,12:00:00 PM,3.4,80,-1.4,9.55,12.63,137,139,14,0.3567,Helsinki,181
1/8/2020,1:00:00 PM,4.9,78,-0.4,9.98,13.2,138,140,14.7,0.3846,Helsinki,182
1/8/2020,2:00:00 PM,6,78,0.5,10.11,13.8,135,138,14.8,0.4124,Helsinki,183
1/8/2020,3:00:00 PM,7,77,1.3,9.76,14.75,135,139,14.9,0.4403,Helsinki,184
1/8/2020,4:00:00 PM,7.6,74,1,10.33,14.92,137,140,15.2,0.4682,Helsinki,185
1/8/2020,5:00:00 PM,7.7,73,1,10.41,15.38,139,142,15,0.4961,Helsinki,186
1/8/2020,6:00:00 PM,6.7,76,0.9,9.76,14.59,142,145,15.1,0.4876,Helsinki,187
1/8/2020,7:00:00 PM,8.3,76,2.3,9.24,13.94,146,149,14.1,0.4428,Helsinki,188
1/8/2020,8:00:00 PM,9.2,76,3.1,8.35,13.04,146,150,13.3,0.3981,Helsinki,189
1/8/2020,9:00:00 PM,10.2,75,4,7.82,12.59,145,150,12,0.3533,Helsinki,190
1/8/2020,10:00:00 PM,11.2,75,4.8,7.24,11.86,145,151,11.3,0.3085,Helsinki,191
1/8/2020,11:00:00 PM,12.1,75,5.6,6.77,11.32,146,152,10.3,0.2638,Helsinki,192
1/9/2020,12:00:00 AM,12.4,75,5.9,5.69,10.03,149,157,9.6,0.219,Helsinki,193
1/9/2020,1:00:00 AM,11.6,76,5.5,5.28,9.42,151,158,8,0.1742,Helsinki,194
1/9/2020,2:00:00 AM,11.9,77,6,4.71,8.83,163,167,7.3,0.1294,Helsinki,195
1/9/2020,3:00:00 AM,9.5,80,4.6,2.4,5.02,182,185,6.5,0.0847,Helsinki,196
1/9/2020,4:00:00 AM,13.4,78,7.9,2.34,3.86,140,163,3,0.0399,Helsinki,197
1/9/2020,5:00:00 AM,13.1,83,8.8,1.08,1.9,112,162,3,0.042,Helsinki,198
1/9/2020,6:00:00 AM,12,81,7.3,0.45,1.8,297,273,1.3,0.0909,Helsinki,199
1/9/2020,7:00:00 AM,9,84,5.1,1.75,3.36,294,300,2.3,0.1398,Helsinki,200
1/9/2020,8:00:00 AM,8.1,84,4.3,2.51,3.96,293,315,2.8,0.1887,Helsinki,201
1/9/2020,9:00:00 AM,10.8,84,7,4.66,7.71,305,317,6.3,0.2377,Helsinki,202
1/9/2020,10:00:00 AM,12.2,86,8.7,6.02,10.19,312,317,8.5,0.2866,Helsinki,203
1/9/2020,11:00:00 AM,14.9,85,11.2,7.14,12.32,314,318,10.3,0.3355,Helsinki,204
1/9/2020,12:00:00 PM,18.1,86,14.5,8.13,13.38,315,318,11.9,0.3704,Helsinki,205
1/9/2020,1:00:00 PM,18.6,85,14.8,9.48,12.74,318,318,13.7,0.3912,Helsinki,206
1/9/2020,2:00:00 PM,18.2,82,13.7,10.47,13.65,314,314,15,0.4121,Helsinki,207
1/9/2020,3:00:00 PM,16.7,81,11.9,10.54,13.65,314,314,15.6,0.4329,Helsinki,208
1/9/2020,4:00:00 PM,15.7,82,11.1,9.05,12.45,315,315,15.3,0.4538,Helsinki,209
1/9/2020,5:00:00 PM,14.7,81,10,8.42,12.25,317,318,13.1,0.4746,Helsinki,210
1/9/2020,6:00:00 PM,13.1,79,7.7,7.58,11.24,324,324,12.2,0.4762,Helsinki,211
1/9/2020,7:00:00 PM,11.2,78,5.8,6.8,10.48,327,327,10.9,0.4588,Helsinki,212
1/9/2020,8:00:00 PM,8.9,79,3.7,6.44,10.13,324,325,9.8,0.4412,Helsinki,213
1/9/2020,9:00:00 PM,7.5,78,2,6.26,9.86,321,323,9.2,0.4237,Helsinki,214
1/9/2020,10:00:00 PM,6.7,76,0.8,6.11,9.66,320,324,8.9,0.4062,Helsinki,215
1/9/2020,11:00:00 PM,6,76,0,6.3,9.79,317,320,8.9,0.3888,Helsinki,216
1/10/2020,12:00:00 AM,5,75,-1.2,6.86,10.62,317,318,9.8,0.3712,Helsinki,217
1/10/2020,1:00:00 AM,4.6,74,-2,6.98,10.56,322,323,10.2,0.3538,Helsinki,218
1/10/2020,2:00:00 AM,3.7,73,-3,6.92,10.44,323,324,10,0.3362,Helsinki,219
1/10/2020,3:00:00 AM,3.5,72,-3.6,7.52,10.96,324,324,10.8,0.3188,Helsinki,220
1/10/2020,4:00:00 AM,2.8,69,-5,7.68,11.15,325,326,11.2,0.3012,Helsinki,221
1/10/2020,5:00:00 AM,1.8,68,-6.2,7.55,11.01,325,326,11.1,0.2909,Helsinki,222
1/10/2020,6:00:00 AM,0,72,-6.8,7.1,9.74,328,328,12,0.2877,Helsinki,223
1/10/2020,7:00:00 AM,-1.2,73,-7.9,7.27,9.55,328,329,10.7,0.2845,Helsinki,224
1/10/2020,8:00:00 AM,-2.1,70,-9.5,7.26,9.45,330,330,10.6,0.2812,Helsinki,225
1/10/2020,9:00:00 AM,-2.8,68,-10.7,7.82,10.21,325,325,11.4,0.278,Helsinki,226
1/10/2020,10:00:00 AM,-2.7,68,-10.8,7.96,10.18,321,322,11.6,0.2748,Helsinki,227
1/10/2020,11:00:00 AM,-2.1,68,-9.9,7.72,9.86,319,320,11.9,0.2716,Helsinki,228
1/10/2020,12:00:00 PM,-1.4,69,-9.1,6.94,8.58,319,319,11.5,0.2533,Helsinki,229
1/10/2020,1:00:00 PM,-1.1,69,-8.8,6.52,7.94,319,319,10.4,0.22,Helsinki,230
1/10/2020,2:00:00 PM,-1,70,-8.5,6.47,7.96,321,321,9.9,0.1867,Helsinki,231
1/10/2020,3:00:00 PM,-1.1,70,-8.4,5.95,7.45,319,320,9.7,0.1533,Helsinki,232
1/10/2020,4:00:00 PM,-1.9,73,-8.4,4.53,6.59,319,319,8.7,0.12,Helsinki,233
1/10/2020,5:00:00 PM,-4.6,76,-10.3,3.48,5.78,321,323,6.5,0.0867,Helsinki,234
1/10/2020,6:00:00 PM,-6.7,76,-12.3,3.05,4.93,337,342,4.7,0.0693,Helsinki,235
1/10/2020,7:00:00 PM,-8.4,77,-13.6,2.1,3.77,335,349,3.9,0.068,Helsinki,236
1/10/2020,8:00:00 PM,-7.3,77,-12.7,1.7,2.71,320,356,2.6,0.0666,Helsinki,237
1/10/2020,9:00:00 PM,-9,77,-14.2,2.06,2.31,299,342,2.6,0.0652,Helsinki,238
1/10/2020,10:00:00 PM,-6.2,75,-12,1.48,1.6,298,360,2.6,0.0639,Helsinki,239
1/10/2020,11:00:00 PM,-5.3,73,-11.6,0.58,1,211,84,1.8,0.0625,Helsinki,240
1/11/2020,12:00:00 AM,-10.2,76,-15.7,2.24,2.83,153,135,2.5,0.0611,Helsinki,241
1/11/2020,1:00:00 AM,-12.1,78,-17,2.92,3.71,158,153,3.6,0.0598,Helsinki,242
1/11/2020,2:00:00 AM,-11.9,79,-16.6,3.4,4.4,166,159,3.9,0.0584,Helsinki,243
1/11/2020,3:00:00 AM,-10.2,78,-15.2,4.41,6.72,167,157,5.9,0.057,Helsinki,244
1/11/2020,4:00:00 AM,-10.9,78,-16,4.1,6.6,179,166,6,0.0557,Helsinki,245
1/11/2020,5:00:00 AM,-11.7,77,-16.9,3.7,5.89,182,165,5.5,0.0607,Helsinki,246
1/11/2020,6:00:00 AM,-11.1,81,-15.4,3.98,6.92,152,143,5,0.0721,Helsinki,247
1/11/2020,7:00:00 AM,-11.7,83,-15.4,4.36,7.36,143,137,5.7,0.0836,Helsinki,248
1/11/2020,8:00:00 AM,-12.5,85,-15.7,4.74,8.51,145,140,7.2,0.095,Helsinki,249
1/11/2020,9:00:00 AM,-11.8,83,-15.4,5.66,9.85,148,145,7.9,0.1064,Helsinki,250
1/11/2020,10:00:00 AM,-10.7,82,-14.5,5.16,9.42,158,161,8.5,0.1179,Helsinki,251
1/11/2020,11:00:00 AM,-7,75,-12.7,5.26,9.71,159,161,7.8,0.1293,Helsinki,252
1/11/2020,12:00:00 PM,-5.7,75,-11.6,6.02,9.53,148,153,9,0.141,Helsinki,253
